anime_id,name,genre,type,episodes,rating,members
857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,25,7.69,194611
8539,Toilet no Hanako-san,Horror,Movie,1,5.87,224
314,Ace wo Nerae! 2,"Drama, Shoujo, Sports",OVA,13,6.81,890
32572,Neko Neko Nihonshi,"Historical, Parody",TV,Unknown,5.9,612
15451,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.87,266657
3279,Kinnikuman: Seigi Choujin vs. Senshi Choujin,"Action, Comedy, Shounen, Sports",Movie,1,6.22,282
22131,Train Heroes Movie,Kids,Movie,1,6.25,61
22645,Kero Kero Keroppi no Sora wo Tobetara,"Adventure, Kids",OVA,1,6.45,69
33877,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Hashire! Ryoutsu-shiki Chinchin Densha,"Comedy, Police",Special,1,7.0,108
1790,Tactical Roar Special,"Action, Comedy, Ecchi, Military, Romance, Sci-Fi",Special,1,5.98,1252
10751,Kikou Kai Galient OVA,"Action, Fantasy, Mecha, Sci-Fi",OVA,3,6.19,328
9257,Denki Musou Hana,Hentai,OVA,2,5.14,393
6749,Prince of Tennis: The Band of Princes Film Kick the Future,"Action, Music",Music,1,7.1,3826
2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.37,1833
12157,Busou Chuugakusei: Basket Army,"Action, Military",ONA,5,6.04,4046
13655,Little Busters!,"Comedy, Drama, School, Slice of Life, Supernatural",TV,26,7.64,138655
2736,Mojakou,"Comedy, Fantasy, Sci-Fi",TV,74,7.34,1218
8899,Kaitei Shounen Marine,"Action, Adventure, Kids, Sci-Fi",TV,65,6.49,213
8754,Tales of the Abyss Special Fan Disc,"Comedy, Slice of Life",Special,2,6.89,2975
24075,Persona 4 the Golden Animation,"Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural",TV,12,6.75,39165
10189,Hunter x Hunter Pilot,"Action, Adventure, Shounen, Super Power",OVA,1,7.37,10375
29271,Hangyodon no 007/2: Doctor Sunday Arawaru no Maki,"Kids, Parody",OVA,1,7.0,51
74,Gakuen Alice,"Comedy, Magic, School, Shoujo",TV,26,7.8,52995
30411,Happy Jozy,Comedy,TV,Unknown,5.38,211
7473,Rennyo to Sono Haha,Historical,Movie,1,6.21,132
24803,Tobidasu Ehon 3D,Kids,Movie,1,5.33,42
15313,Wooser no Sono Higurashi,"Comedy, Fantasy, Slice of Life",TV,12,6.36,8081
8550,Dr. Slump Movie 10: Arale no Bikkuriman,"Comedy, Sci-Fi, Shounen",Movie,1,6.34,513
12187,Carnival Phantasm EX Season,"Comedy, Supernatural",OVA,1,7.56,22955
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,1,8.26,66376
3505,Yuusha Shirei Dagwon,"Action, Adventure, Martial Arts, Mecha, School, Super Power",TV,48,7.21,689
8966,Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,"Adventure, Comedy, Kids",OVA,1,6.55,738
4440,Sugata Sanshirou,"Action, Martial Arts, Sports",Special,1,6.65,158
2958,Hitozuma Cosplay Kissa,Hentai,OVA,2,6.12,2856
28087,Ehon Yose,"Historical, Horror, Kids",TV,50,5.25,99
31640,Fuusen Inu Tinny 2nd Season,"Adventure, Kids",TV,Unknown,3.75,87
32792,Mobile Suit Gundam Unicorn RE:0096,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,22,7.56,9767
30663,Docchi mo Maid,"Action, Comedy, Ecchi, Yuri",ONA,1,5.15,223
28247,Pankis! 2-jigen,"Comedy, Music",TV,24,6.08,331
10533,Fujilog,Comedy,TV,13,5.75,275
1438,Lupin III: Lupin Ansatsu Shirei,"Action, Adventure, Comedy, Shounen",Special,1,7.08,3006
86,Mobile Suit Gundam ZZ,"Comedy, Drama, Mecha, Military, Sci-Fi, Space",TV,47,6.81,17517
9759,Future GPX Cyber Formula Graffiti,"Action, Sci-Fi, Sports",OVA,1,6.55,223
32551,Digimon Adventure tri. 3: Kokuhaku,"Action, Adventure, Comedy, Drama",Movie,1,8.13,20989
4975,ChäoS;HEAd,"Harem, Mystery, Psychological, Sci-Fi, Supernatural",TV,12,6.62,174337
31300,Irodorimidori: Change Our Mirai!,Music,Music,1,5.85,721
2250,Roots Search: Shokushin Buttai X,"Horror, Sci-Fi",OVA,1,4.34,1328
7175,Himitsukessha Taka no Tsume Countdown,"Comedy, Parody, Super Power",TV,12,6.17,179
16606,C.L.A.Y.,Horror,ONA,1,3.84,1104
12163,Ginga Tetsudou 999: Hoshizora wa Time Machine,"Drama, Sci-Fi",Movie,1,6.99,443
17991,Super Real Mahjong: Kasumi Miki Shouko no Hajimemashite,"Comedy, Ecchi, Game",OVA,1,5.76,161
1017,Majutsushi Orphen,"Action, Adventure, Comedy, Demons, Fantasy, Magic",TV,24,7.3,20105
1922,Urusei Yatsura Movie 3: Remember My Love,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.17,2897
19773,Akuma Tou no Prince: Mitsume ga Tooru,"Adventure, Comedy, Demons, Supernatural",Special,1,4.96,149
7597,"Boku, Otaryman.","Comedy, Seinen, Slice of Life",OVA,1,6.25,3294
6164,Aoi Hana,"Romance, Shoujo Ai, Slice of Life",TV,11,7.29,43279
5561,Yayoi,Hentai,OVA,1,4.94,340
33888,Omoi Au Christmas 2011,Fantasy,Special,3,4.67,35
12657,Tongari Boushi no Memole: Marielle no Housekibako,"Fantasy, Magic, Shoujo",OVA,1,6.4,185
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",Special,1,7.31,40858
18643,Kita e: Pure Session,Music,Music,1,5.99,212
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,7.48,7581
6148,Yurumates,"Comedy, Seinen, Slice of Life",OVA,1,6.5,4549
2947,Ojamajo Doremi Sharp Movie,"Kids, Magic, Shoujo",Movie,1,7.29,2037
1482,D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399
21293,Sore Ike! Anpanman: Shabondama no Purun,"Comedy, Fantasy, Kids",Movie,1,5.41,73
740,Bishoujo Senshi Sailor Moon R,"Demons, Magic, Romance, Shoujo",TV,43,7.74,73305
886,Amaenaide yo!! Katsu!!,"Comedy, Ecchi, Harem, Romance, Supernatural",TV,12,6.89,33573
1089,Macross: Do You Remember Love?,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,8.09,19240
2281,Jikuu Tantei Genshi-kun,"Adventure, Comedy, Fantasy, Mystery, Sci-Fi, Shounen",TV,39,6.39,5541
1580,Mouryou Senki Madara,"Adventure, Demons, Shounen, Supernatural",OVA,2,6.4,813
4480,Ryoujoku Guerrilla Kari 3,Hentai,OVA,2,6.15,1224
32455,Gekidol,Music,,Unknown,,586
4014,Choujin Locke: Lord Leon,"Action, Sci-Fi, Super Power",OVA,3,6.37,483
2259,Dr. Rin ni Kiitemite!,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,51,6.95,1904
10139,21 Seiki Manga Hajimete Monogatari,"Adventure, Comedy, Kids, Sci-Fi",Special,1,6.63,258
3641,Naisho no Tsubomi,"Kids, Romance, School, Shoujo, Slice of Life, Supernatural",OVA,3,6.72,5135
25099,Ore ga Ojousama Gakkou ni &quot;Shomin Sample&quot; Toshite Gets♥Sareta Ken,"Comedy, Ecchi, Harem, Romance, School",TV,12,7.06,77774
1728,Super GALS! Kotobuki Ran,"Comedy, Shoujo, Slice of Life",TV,52,7.57,10369
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927
1749,Amaenaide yo!!: Yasumanaide yo!!,"Comedy, Ecchi, Romance, Supernatural",Special,1,6.81,10549
1283,Choujuu Densetsu Gestalt,"Adventure, Comedy, Fantasy, Shoujo",OVA,2,6.26,2601
5647,Doukyuusei 2 (OVA) Special: Sotsugyousei,"Ecchi, Harem, School",OVA,3,5.78,526
9690,Densetsu no Yuusha no Densetsu: Iris Report,"Action, Adventure, Fantasy, Magic, Shounen",Special,1,6.58,11765
12455,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho,Comedy,OVA,4,6.81,3670
1506,Detective Conan Movie 10: Requiem of the Detectives,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.21,21789
1820,Power Dolls,"Action, Adventure, Mecha, Sci-Fi",OVA,2,5.65,921
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
866,Slayers Premium,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1,7.32,13008
10209,Kore wa Zombie Desu ka? OVA,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",OVA,2,7.57,73826
33538,Shima Kousaku no Asia Risshi-den,"Drama, Seinen",TV,26,6.0,92
33960,Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,Hentai,OVA,Unknown,8.38,161
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26,6.74,17920
3465,Nagasaki 1945: Angelus no Kane,"Drama, Historical, Military",Movie,1,6.61,346
33357,Wo Jiao Bai Xiaofei,"Action, Comedy, Horror",ONA,39,7.2,163
4187,Megumi,Historical,ONA,1,6.25,1105
6133,Violence Gekiga Shin David no Hoshi: Inma Densetsu,Hentai,OVA,1,4.98,175
34048,Seoul-yeok,"Horror, Thriller",Movie,1,6.18,405
23347,Gan to Gon,"Comedy, Kids",TV,260,6.7,61
1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Special,1,7.14,38638
26091,Koe wo Kikasete,"Drama, Kids",OVA,1,8.33,47
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",OVA,2,7.39,2167
10112,Alexandros no Ketsudan,Historical,OVA,1,5.48,212
17603,Mr. Pen Pen,"Comedy, Kids, Shoujo",Special,1,6.13,74
25117,Ryuugajou Nanana no Maizoukin (TV) Specials,Comedy,Special,6,6.74,3689
7759,Saki Picture Drama,"Comedy, Slice of Life",Special,7,6.34,2767
15807,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,"Comedy, Ecchi, School, Sports",OVA,1,7.12,10122
31517,Ninja-tai Gatchaman ZIP!,"Comedy, Parody",TV,475,5.5,146
23701,Toradora! OVA,"Comedy, Romance, School, Slice of Life",OVA,1,7.72,25154
27943,Nano Invaders,"Action, Adventure, Shounen, Super Power",TV,52,7.08,519
30948,Kowabon,Horror,TV,13,5.33,21026
16319,Asako Get You!!,"Comedy, Romance, School, Seinen, Slice of Life",OVA,2,5.91,2619
32629,Subarashii Sekai Ryokou: New York Tabi &quot;Computopia Seireki Nisennen no Monogatari&quot;,Sci-Fi,Special,2,8.0,35
33244,Kiitarou Shounen no Youkai Enikki,"Comedy, Supernatural",TV,12,5.97,11986
22567,Osaru no Monkichi no Kin no Ono Gin no Ono,Kids,OVA,1,5.05,81
870,Dragon Half,"Comedy, Fantasy, Parody",OVA,2,7.05,11596
5725,Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,"Action, Adventure, Game, Kids, Sci-Fi",TV,30,6.32,1710
3501,Wellber no Monogatari: Sisters of Wellber Zwei,"Adventure, Fantasy, Historical, Romance",TV,13,7.0,3038
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
604,Mahou no Stage Fancy Lala,"Comedy, Drama, Magic, Music, Romance, Shoujo",TV,26,7.18,5991
9768,Shima Shima Tora no Shimajirou,"Adventure, Comedy, Fantasy, Kids, Magic",TV,726,6.25,237
24773,Norasco,"Comedy, Slice of Life",ONA,Unknown,4.75,93
1972,Meitantei Holmes,"Adventure, Comedy, Mystery",TV,26,7.46,3985
2435,Choubatsu Yobikou,"Hentai, School",OVA,2,6.14,1818
30410,Gon 2nd Season,"Action, Adventure, Kids",TV,26,5.92,141
7581,Otome Chibaku Yuugi,Hentai,OVA,2,6.56,2552
7862,Transformers: Robot Masters,Mecha,Special,2,5.69,485
13223,Bible Black: New Testament Recap,Hentai,OVA,1,6.6,2777
33144,Jiok,"Drama, Fantasy, Horror",Movie,1,6.22,121
15813,Majokko Shimai no Yoyo to Nene,"Fantasy, Magic",Movie,1,7.65,8698
13501,Cofun Gal no Coffy,"Comedy, Historical, Parody",ONA,10,4.45,75
21161,Wansa-kun OVA,"Comedy, Kids",OVA,1,6.57,62
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,7.66,94165
3873,Honey Honey no Suteki na Bouken,"Adventure, Historical, Shoujo",TV,29,6.58,386
30061,Genki Bakuhatsu Ganbaruger: Hyakka,"Action, Mecha, Shounen",OVA,1,6.14,70
32313,Concrete Revolutio: Choujin Gensou - The Last Song,"Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural",TV,11,7.23,16116
30453,Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack,"Comedy, Sci-Fi, Shounen",Special,1,7.11,152
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
220,Kuro no Danshou,"Hentai, Horror",OVA,4,6.05,1388
1451,Shuranosuke Zanmaken: Shikamamon no Otoko,"Action, Historical, Supernatural, Thriller",Movie,1,4.95,2229
30573,Break Blade: Virgins War,Action,Special,1,6.58,1876
4717,Chijoku Kankin,Hentai,OVA,1,5.82,951
31948,Sora no Arawashi,"Action, Drama",Movie,1,6.17,51
12121,Towa no Kizuna,Music,Music,1,6.25,1692
4450,Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,"Adventure, Comedy, Demons, Historical, Supernatural",Special,11,6.72,8496
7337,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody",Movie,1,7.47,36986
11545,Happyakuyachou Hyouri Kewaishi,"Drama, Historical",TV,16,5.68,200
29283,Uchuu Kaizoku Mito no Daibouken Pilot,"Comedy, Sci-Fi",Special,1,5.42,106
3073,Robby to Kerobby,"Comedy, Kids",TV,52,6.0,94
1264,Yoroiden Samurai Troopers,"Adventure, Samurai, Sci-Fi, Shounen",TV,39,7.21,11015
19515,Kentoushi,"Seinen, Sports",OVA,3,6.25,88
31537,Shingeki no Bahamut: Manaria Friends,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",TV,Unknown,,9939
15129,Tanpen Animation Junpei Fujita,Music,Special,3,6.75,88
4540,Gundam: Mission to the Rise,"Action, Mecha, Sci-Fi",Special,1,5.89,2710
15377,Hyakka Ryouran: Samurai Bride,"Action, Comedy, Ecchi, Harem, Samurai, School",TV,12,6.91,52542
967,Hokuto no Ken,"Action, Drama, Martial Arts, Sci-Fi, Shounen",TV,109,7.99,40271
14471,Kaguya-hime: Taketori Monogatari,"Hentai, Historical",OVA,1,5.06,332
32543,Lu Shidai 2nd Season,"Action, Adventure, Comedy, Game, Parody",ONA,13,7.31,740
3911,Shuukaku no Yoru,Hentai,OVA,2,6.16,1558
12037,What&#039;s Michael? 2,Comedy,OVA,1,6.14,101
2051,Akai Kiba: Blue Sonnet,"Action, Drama, Sci-Fi, Shoujo, Super Power",OVA,5,6.19,1024
30544,Gakusen Toshi Asterisk,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural",TV,12,7.14,168657
32807,Xiong Chu Mo,"Comedy, Kids",TV,104,5.67,39
13435,Taka no Tsume NEO Announcement Movie,"Comedy, Parody, Super Power",Special,1,4.23,109
9211,Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,Hentai,OVA,1,5.64,1262
2713,Rockman.EXE Beast+,"Action, Adventure, Game, Mecha, Sci-Fi, Shounen",TV,26,7.11,3224
14249,Ribbon no Kishi (1999),Adventure,Movie,1,5.86,178
20785,Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
470,Okusama wa Joshikousei (TV),"Comedy, Drama, Romance, Slice of Life",TV,13,6.45,14010
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
4825,Tenkousei,Hentai,OVA,4,5.96,291
12867,Tsuki no Sango,Drama,Movie,1,6.35,1661
21107,Buddy Spirits,"Action, Mecha",ONA,1,5.49,343
29163,Sore ga Seiyuu!,"Comedy, Slice of Life",TV,13,7.15,25707
29731,Beppu x Peeping Life,"Comedy, Slice of Life",ONA,1,5.21,161
345,Eikoku Koi Monogatari Emma,"Drama, Historical, Romance, Seinen, Slice of Life",TV,12,7.81,23877
13253,Blossom,Music,Movie,1,6.63,2825
17549,Non Non Biyori,"Comedy, School, Seinen, Slice of Life",TV,12,8.05,133475
564,Puni Puni☆Poemii,"Comedy, Magic, Sci-Fi, Shounen",OVA,2,6.68,21987
5314,Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,"Adventure, Comedy, Fantasy",Movie,1,6.28,350
19009,Puyo Puyo: Madou Monogatari,"Comedy, Fantasy",OVA,1,6.8,151
22177,Madonna (Movie),Dementia,Movie,1,4.0,248
2432,Discipline,"Hentai, School",OVA,6,7.04,15917
5449,Chibi Kero: Kerobouru no Himitsu!?,Comedy,Special,1,6.62,625
9308,Oni Chichi 2,Hentai,OVA,2,6.94,11092
4191,Popolocrois Monogatari,"Adventure, Fantasy",TV,25,7.26,1260
2009,Yawara! Special: Zutto Kimi no Koto ga... .,"Action, Comedy, Drama, Martial Arts, Slice of Life, Sports",Special,1,7.46,855
20713,Mai Zhu,"Comedy, Historical",Movie,1,5.78,180
33290,Gra-P &amp; Rodeo 2nd Season,"Comedy, Music",TV,Unknown,3.92,157
1118,Pokemon: Kesshoutou no Teiou Entei,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.16,73253
10338,Honto ni Atta! Reibai Sensei,"Comedy, School, Shounen, Supernatural",TV,22,6.66,5082
18149,Ishida to Asakura Special,"Comedy, School, Seinen",Special,1,5.04,2334
660,Denshin Mamotte Shugogetten,"Comedy, Fantasy, Magic, Romance, Shounen",OVA,8,6.64,2372
6018,Patchin shite! Obaachan,Drama,Movie,1,6.83,112
23911,Subarashii Sekai Ryokou: Alaska no Tabi &quot;Daigo Hyougaki&quot;,"Adventure, Sci-Fi",Special,2,8.0,62
7170,Kataku,"Demons, Historical, Supernatural",Movie,1,6.38,1025
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056
25159,Inou-Battle wa Nichijou-kei no Naka de,"Comedy, Romance, School, Slice of Life, Supernatural",TV,12,7.34,144370
24169,Detective Conan: The Fugitive Kogorou Mouri,"Comedy, Mystery",ONA,1,7.02,2403
28235,Indie Anibox: Selma Danbaekjil Coffee,"Comedy, Drama, Romance, Samurai, Sci-Fi",Movie,1,7.22,109
20381,Jungle Taitei Movie,"Adventure, Shounen",Movie,1,6.64,271
4943,Yousei Florence,"Adventure, Fantasy, Music",Movie,1,6.89,891
12669,Amagami SS+ Plus Specials,Romance,Special,6,7.33,17764
27963,Shouta no Sushi: Kokoro ni Hibiku Shari no Aji,Shounen,Special,1,7.33,64
4591,Yoiko,"Comedy, School, Slice of Life",TV,20,6.4,2238
1795,Dirty Pair: Bouryaku no 005-bin,"Action, Adventure, Comedy, Police, Sci-Fi",OVA,1,6.96,1915
6829,Izakaya no Ichiya,Action,Movie,1,5.31,406
30025,Otenki Boys,"Kids, Super Power",TV,30,6.33,39
31268,Miira no Yume,Dementia,Movie,1,2.97,98
33056,Buddy Go!,"Comedy, Romance, Shoujo",Special,3,6.42,1415
24501,Inui-san!,"Comedy, Shoujo",OVA,Unknown,5.2,106
11113,Usagi Drop Specials,"Josei, Slice of Life",Special,4,8.07,36351
31759,Hakubutsushi,Dementia,Movie,1,5.04,191
18179,Yowamushi Pedal,"Comedy, Drama, Shounen, Sports",TV,38,8.16,91138
6267,Eko Eko Azarak,"Fantasy, Horror, Magic",OVA,1,5.78,246
8987,Princess Knight☆Catue,Hentai,OVA,3,6.63,3006
6368,Legend of Regios,Magic,Special,3,6.64,6194
10239,Mayutoro The Toons,"Comedy, Fantasy, Kids",TV,33,5.38,76
